"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","lng","lat","phylum","class","order","family","genus","cx_int_no"
"964027","occ","","","92421","Xiaotingia zhengi n. gen. n. sp.","species","193134","","Xiaotingia zhengi","species","193134","Late Bathonian","Early Kimmeridgian","168.2","152.21","36800","119.991112","40.868057","Chordata","Saurischia","NO_ORDER_SPECIFIED","Troodontidae","Xiaotingia","15"
"965855","occ","","","77316","Hesperornis cf. regalis","species","96488","","Hesperornis regalis","species","96488","Early Campanian","Middle Campanian","83.6","72.2","36973","-103.296600","43.007500","Chordata","Saurischia","Hesperornithiformes","Hesperornithidae","Hesperornis","113"
"968176","occ","","","114539","Namaortyx sperrgebietensis n. gen. n. sp.","species","195905","","Namaortyx sperrgebietensis","species","195905","Bartonian","","41.03","37.71","37112","15.416667","-27.266666","Chordata","Saurischia","Galliformes","NO_FAMILY_SPECIFIED","Namaortyx","107"
"968544","occ","","","67712","Santanaraptor placidus n. gen. n. sp.","species","53938","","Santanaraptor placidus","species","53938","Late Aptian","","119.57","113.2","8715","-39.733334","-7.183333","Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Santanaraptor","119"
"968601","occ","35879","","13310","Saltriovenator zanellai n. gen. n. sp.","species","390563","","Saltriovenator zanellai","species","390563","Early Sinemurian","","199.5","192.9","69631","8.928022","45.882748","Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Saltriovenator","133"
"970051","occ","","","115000","Struthiosaurus transylvanicus","species","64748","","Struthiosaurus transylvanicus","species","64748","Late Maastrichtian","","72.2","66","37235","23.560577","46.016869","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Nodosauridae","Struthiosaurus","112"
"970254","occ","","","80859","Telmatosaurus transsylvanicus","species","68154","","Telmatosaurus transsylvanicus","species","68153","Early Maastrichtian","","72.2","66","37235","23.552959","46.027943","Chordata","Ornithischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Telmatosaurus","112"
"970364","occ","","","115075","Mochlodon suessi","species","168580","recombined as","Rhabdodon suessi","species","64750","Late Maastrichtian","","72.2","66","37235","23.255066","47.321762","Chordata","Ornithischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Mochlodon","112"
"970368","occ","25311","","26369","Paludititan nalatzensis n. gen. n. sp.","species","197175","","Paludititan nalatzensis","species","197175","Late Maastrichtian","","72.2","66","37255","22.930000","45.580002","Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Paludititan","112"
"970991","occ","","F","115193","Megaloolithus siruguei","species","67202","","Megaloolithus siruguei","species","67202","Early Maastrichtian","","72.2","66","55400","1.242146","42.169979","Chordata","Saurischia","NO_ORDER_SPECIFIED","Megaloolithidae","Megaloolithus","112"
"971117","occ","","","13334","Zalmoxes robustus","species","66743","","Zalmoxes robustus","species","66741","Early Maastrichtian","","72.2","66","13939","22.845142","45.603615","Chordata","Ornithischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Zalmoxes","112"
"971262","occ","","","115225","Pternistis capensis","species","369300","","Pternistis capensis","species","369299","Late Pleistocene","","0.129","0.0117","37211","18.423717","-33.665047","Chordata","Saurischia","Galliformes","Phasianidae","Pternistis","922"
"973069","occ","","","49099","Epachthosaurus sciuttoi","species","57467","","Epachthosaurus sciuttoi","species","57467","Late Cenomanian","Early Turonian","100.5","89.8","10539","-69.616669","-45.316669","Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Epachthosaurus","39"
"974847","occ","","","79518","Aberratiodontus wui n. gen. n. sp.","species","166964","","Aberratiodontus wui","species","166964","Aptian","","121.4","113.2","37439","120.427139","43.636063","Chordata","Saurischia","Yanornithiformes","Yanornithidae","Yanornis","119"
"974886","occ","","","79517","Cathayornis caudatus n. sp.","species","174106","recombined as","Houornis caudatus","species","174106","Aptian","","121.4","113.2","37441","119.983330","41.400002","Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Houornis","119"
"974887","occ","","","79517","Longchengornis sanyanensis n. gen. n. sp.","species","197827","","Longchengornis sanyanensis","species","197827","Aptian","","121.4","113.2","37441","119.983330","41.400002","Chordata","Saurischia","Cathayornithiformes","Cathayornithidae","Longchengornis","119"
"974894","occ","","","116136","Cuspirostrisornis houi n. gen. n. sp.","species","197829","","Cathayornis yandica","species","137353","Aptian","","121.4","113.2","37441","120.000000","41.750000","Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Cathayornis","119"
"975914","occ","","","24883","Omeisaurus jiaoi n. sp.","species","198888","","Omeisaurus jiaoi","species","198888","Bajocian","Oxfordian","170.9","154.8","37503","104.852501","29.411388","Chordata","Saurischia","NO_ORDER_SPECIFIED","Mamenchisauridae","Omeisaurus","15"
"975932","occ","","","116361","Sinotyrannus kazuoensis n. gen. n. sp.","species","198892","","Sinotyrannus kazuoensis","species","198892","Aptian","","121.4","113.2","37505","119.741699","41.123329","Chordata","Saurischia","NO_ORDER_SPECIFIED","Proceratosauridae","Sinotyrannus","119"
"979876","occ","","","45087","Alamitornis minutus n. gen. n. sp.","species","200125","","Alamitornis minutus","species","200125","Late Campanian","Early Maastrichtian","83.6","66","37643","-66.326668","-41.954723","Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Alamitornis","39"
"980746","occ","","","79517","Largirostrornis sexdentornis n. gen. n. sp.","species","197831","","Cathayornis yandica","species","137353","Aptian","","121.4","113.2","37441","119.983330","41.400002","Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Cathayornis","119"
"980747","occ","","","79517","Songlingornis linghensis n. gen. n. sp.","species","197838","","Songlingornis linghensis","species","197838","Aptian","","121.4","113.2","37441","119.983330","41.400002","Chordata","Saurischia","NO_ORDER_SPECIFIED","Hongshanornithidae","Songlingornis","119"
"980820","occ","","","117447","Narambuenatitan palomoi n. gen. n. sp.","species","201025","","Narambuenatitan palomoi","species","201025","Early Campanian","Middle Campanian","83.6","72.2","37763","-69.140556","-37.394444","Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Narambuenatitan","113"
"980825","occ","","","117450","Petrobrasaurus puestohernandezi n. gen. n. sp.","species","201031","","Petrobrasaurus puestohernandezi","species","201031","Late Coniacian","Early Santonian","89.8","83.6","37765","-69.073059","-37.378613","Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Petrobrasaurus","39"
"980828","occ","","","117451","? Alamosaurus sanjuanensis","species","63399","","Alamosaurus sanjuanensis","species","63399","Late Maastrichtian","","72.2","66","38490","-108.030701","36.314800","Chordata","Saurischia","NO_ORDER_SPECIFIED","Saltasauridae","Alamosaurus","112"
"984121","occ","","","117978","Dongyangosaurus sinensis n. gen. n. sp.","species","202262","","Dongyangosaurus sinensis","species","202262","Cenomanian","Turonian","100.5","89.8","37921","120.210831","29.266666","Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Dongyangosaurus","39"
"984125","occ","30289","","117980","Tambatitanis amicitiae n. gen. n. sp.","species","302342","","Tambatitanis amicitiae","species","302342","Early Albian","","113.2","110.1","52192","135.105270","35.082222","Chordata","Saurischia","NO_ORDER_SPECIFIED","Euhelopodidae","Tambatitanis","118"
"984143","occ","","","117983","Luoyanggia liudianensis n. gen. n. sp.","species","172317","","Luoyanggia liudianensis","species","172317","Aptian","Albian","121.4","100.5","37927","112.589302","34.112000","Chordata","Saurischia","NO_ORDER_SPECIFIED","Oviraptoridae","Luoyanggia","40"
