"orig_no","taxon_no","record_type","flags","taxon_rank","taxon_name","difference","accepted_no","accepted_rank","accepted_name","parent_no","parent_name","reference_no","is_extant","n_occs","firstapp_max_ma","firstapp_min_ma","lastapp_max_ma","lastapp_min_ma","early_interval","late_interval","taxon_size","extant_size","phylum","class","order","family","genus","type_taxon"
"441231","441231","txn","","","Bumbanipodius magnus","","441231","species","Bumbanipodius magnus","441230","Bumbanipodius","77755","extinct","1","56","48.07","56","48.07","Ypresian","","1","0","Chordata","Saurischia","Galliformes","","Bumbanipodius",""
"420419","420419","txn","","","Oreophasis derbianus","","420419","species","Oreophasis derbianus","420418","Oreophasis","71102","extant","0","","","","","","","1","1","Chordata","Saurischia","Galliformes","Cracidae","Oreophasis",""
"369092","369092","txn","","","Penelope purpurascens","","369092","species","Penelope purpurascens","369091","Penelope","65172","extant","1","0.129","0.0117","0.129","0.0117","Late Pleistocene","","1","1","Chordata","Saurischia","Galliformes","Cracidae","Penelope",""
"420415","420415","txn","","","Penelope marail","","420415","species","Penelope marail","369091","Penelope","71102","extant","0","","","","","","","1","1","Chordata","Saurischia","Galliformes","Cracidae","Penelope",""
"420411","420411","txn","","","Penelope argyrotis","","420411","species","Penelope argyrotis","369091","Penelope","71102","extant","0","","","","","","","1","1","Chordata","Saurischia","Galliformes","Cracidae","Penelope",""
"401163","401163","txn","","","Penelope superciliaris","","401163","species","Penelope superciliaris","369091","Penelope","71102","extant","0","","","","","","","1","1","Chordata","Saurischia","Galliformes","Cracidae","Penelope",""
"420412","420412","txn","","","Penelope barbata","","420412","species","Penelope barbata","369091","Penelope","71102","extant","0","","","","","","","1","1","Chordata","Saurischia","Galliformes","Cracidae","Penelope",""
"420413","420413","txn","","","Penelope ortoni","","420413","species","Penelope ortoni","369091","Penelope","71102","extant","0","","","","","","","1","1","Chordata","Saurischia","Galliformes","Cracidae","Penelope",""
"420414","420414","txn","","","Penelope montagnii","","420414","species","Penelope montagnii","369091","Penelope","71102","extant","0","","","","","","","1","1","Chordata","Saurischia","Galliformes","Cracidae","Penelope",""
"105793","105793","txn","","","Palaeonossax senectus","","105793","species","Palaeonossax senectus","105792","Palaeonossax","25114","extinct","1","31.8","29.5","31.8","29.5","Rupelian","","1","0","Chordata","Saurischia","Galliformes","Cracidae","Palaeonossax",""
"105587","105587","txn","","","Ortalis tantala","","105587","species","Ortalis tantala","83490","Ortalis","25083","extinct","1","23.1","18.5","23.1","18.5","Chattian","Burdigalian","1","0","Chordata","Saurischia","Galliformes","Cracidae","Ortalis",""
"399811","399811","txn","","","Ortalis cinereiceps","","399811","species","Ortalis cinereiceps","83490","Ortalis","71102","extant","0","","","","","","","1","1","Chordata","Saurischia","Galliformes","Cracidae","Ortalis",""
"402407","402407","txn","","","Ortalis canicollis","","402407","species","Ortalis canicollis","83490","Ortalis","71102","extant","0","","","","","","","1","1","Chordata","Saurischia","Galliformes","Cracidae","Ortalis",""
"373574","373575","txn","","","Ortalis vetula","","373574","species","Ortalis vetula","83490","Ortalis","65172","extant","1","0.0117","0","0.0117","0","Holocene","","1","1","Chordata","Saurischia","Galliformes","Cracidae","Ortalis",""
"417479","417479","txn","","","Ortalis superciliaris","","417479","species","Ortalis superciliaris","83490","Ortalis","71102","extant","0","","","","","","","1","1","Chordata","Saurischia","Galliformes","Cracidae","Ortalis",""
"373576","373577","txn","","","Ortalis leucogastra","","373576","species","Ortalis leucogastra","83490","Ortalis","65172","extant","1","0.0117","0","0.0117","0","Holocene","","1","1","Chordata","Saurischia","Galliformes","Cracidae","Ortalis",""
"370435","370435","txn","","","Ortalis phengites","","370435","species","Ortalis phengites","83490","Ortalis","65508","extinct","0","","","","","","","1","0","Chordata","Saurischia","Galliformes","Cracidae","Ortalis",""
"405288","405288","txn","","","Ortalis motmot","","405288","species","Ortalis motmot","83490","Ortalis","71102","extant","0","","","","","","","1","1","Chordata","Saurischia","Galliformes","Cracidae","Ortalis",""
"290227","290227","txn","","","Ortalis pollicaris","","290227","species","Ortalis pollicaris","83490","Ortalis","50494","extinct","1","18.5","16.3","18.5","16.3","Burdigalian","","1","0","Chordata","Saurischia","Galliformes","Cracidae","Ortalis",""
"321677","321677","txn","","","Pauxi pauxi","","321677","species","Pauxi pauxi","367993","Pauxi","11795","extant","0","","","","","","","1","1","Chordata","Saurischia","Galliformes","Cracidae","Pauxi",""
"420406","420406","txn","","","Chamaepetes unicolor","","420406","species","Chamaepetes unicolor","420405","Chamaepetes","71102","extant","0","","","","","","","1","1","Chordata","Saurischia","Galliformes","Cracidae","Chamaepetes",""
"420407","420407","txn","","","Chamaepetes goudotii","","420407","species","Chamaepetes goudotii","420405","Chamaepetes","71102","extant","0","","","","","","","1","1","Chordata","Saurischia","Galliformes","Cracidae","Chamaepetes",""
"415632","415632","txn","","","Pipile pipile","","415632","species","Pipile pipile","415631","Pipile","71102","extant","0","","","","","","","1","1","Chordata","Saurischia","Galliformes","Cracidae","Pipile",""
"420410","420410","txn","","","Penelopina nigra","","420410","species","Penelopina nigra","420409","Penelopina","71102","extant","0","","","","","","","1","1","Chordata","Saurischia","Galliformes","Cracidae","Penelopina",""
"417446","417446","txn","","","Aburria aburri","","417446","species","Aburria aburri","417445","Aburria","72269","extinct","0","","","","","","","1","0","Chordata","Saurischia","Galliformes","Cracidae","Aburria",""
